Title;Authors;Venue;Year;Library;I1;I2;I3;I4;I5;I6;E1;E2;E3;E4;Included
 Internet-Based Self-Services: From Analysis and Design to Deployment;Cardoso, Jorge and Miller, John A.;Proceedings of the 2012 IEEE First International Conference on Services Economics;2012;ACM;;;;;;O;;;;;
'Machine' consciousness and 'artificial' thought: An operational architectonics model guided approach;"Fingelkurts AA;Fingelkurts AA;Neves CF;";Brain Research;2012;WOS;O;O;O;;;;;;;;
"""Little helper"" - An autonomous industrial mobile manipulator concept";Hvilshoj M., Bogh S.;International Journal of Advanced Robotic Systems;2011;Scopus;O;;;;;;;;;;
“Machine” consciousness and “artificial” thought: An operational architectonics model guided approach;"Fingelkurts, Andrew A.; Fingelkurts, Alexander A. & Neves, Carlos F.H.";Brain Research ;2012;ScienceDirect;O;O;O;;;;;;;;
(K, R, R)-anonymity: A Light-weight and Personalized Location Protection Model for LBS Query;Yunxia  Feng and Xu  Li and Bo  Song;ACM TUR-C '17;2017;ACM;No;;;;;;;;;;
(WIP) IoT Context Descriptor: Situation Detection and Action Invocation Model for Real-Time High-Volume Transactions;"M. Abe; G. Yamamoto; S. Furuichi";2018 IEEE International Congress on Internet of Things (ICIOT);2018;IEEE;NO;;;;;;;;;;
(WIP) IoT context descriptor: Situation detection and action invocation model for real-time high-volume transactions;Abe M., Yamamoto G., Furuichi S.;Proceedings - 2018 IEEE International Congress on Internet of Things, ICIOT 2018 - Part of the 2018 IEEE World Congress on Services;2018;SCOPUS;N;;;;;;;;;;
\HIERARCHICAL\ \CONTROL\ \STRUCTURES\ \FOR\ \HYBRID\ \VEHICLES\ - MODELLING, SIMULATION, \AND\ \OPTIMIZATION1\ ;SchlÃ¼ter, F. & WÃ¤ltermann, P.;;1995;ScienceDirect;;;;;;;;;;X;
3-DOF planar parallel-wire driven robot with an active balancer and its model-based adaptive control;"Kino, H.; Yoshitake, T.; Wada, R.; Tahara, K.; Tsuda, K.";ADVANCED ROBOTICS;2018;WOS;N;;;;;;;;;;
3D Through-wall Imaging with Unmanned Aerial Vehicles Using Wifi;Chitra R. Karanam and Yasamin  Mostofi;IPSN '17;2017;ACM;No;;;;;;;;;;
3MRP+: An Improved Multimetric Geographical Routing Protocol for VANETs;"Leticia  Lemus C&#225;rdenas and Ahmad  Mohamad Mezher and Nely Patricia  L&#243;pez M&#225;rquez and Pablo  Barbecho Bautista and Juli&#225;n  C&#225;rdenas-Barrera and M&#243;nica  Aguilar Igartua";PE-WASUN'18;2018;ACM;No;;;;;;;;;;
A 21st century technique for food control: Electronic noses ;Peris, Miguel & Escuder-Gilabert, Laura;Analytica Chimica Acta ;2009;ScienceDirect;O;O;O;;;;;;;;
A 25-kft, 768-kb/s CMOS analog front end for multiple-bit-rate DSL transceiver;"Moyal, M.; Groepl, M.; Blon, T.";Solid-State Circuits, IEEE Journal of;1999;IEEE ;;;;;;;;;;X;
A 3-D scene interpreter for indoor navigation;"Roning, J.; Taipale, T.; Pietikainen, M.";Intelligent Robots and Systems '90. 'Towards a New Frontier of Applications', Proceedings. IROS '90. IEEE International Workshop on;1990;IEEE ;;;;;;;;;;X;
A backward-oriented approach for offline programming of complex manufacturing tasks;L. NÃ¤gele M. Macho A. Angerer A. Hoffmann M. Vistein M. SchÃ¶nheits W. Reif;2015 6th International Conference on Automation, Robotics and Applications (ICARA);2015;IEEE;o;o;;;;;;;;;
A BERO CLF Themed Nifty Middle School Module: Teach Functional Programming Using Music and Generate Interest in Coding and Robotics;Ankur  Chattopadhyay and Elizabeth  Quigley and Rachel  Hart and Sallie  Petty;SIGITE '18;2018;ACM;NO;;;;;;;;;;
A Bibliometric Analysis of Crowdfunding Related Research: Current Trends and Future Prospect;Wei  Zhang and Yan-Chun  Zhu and Xiao-Lin  Wu;ICCSE'18;2018;ACM;NO;;;;;;;;;;
A blackboard based system for context sensitive mission planning in an autonomous vehicle;Chappell, S.G.;Unmanned Untethered Submersible Technology, Proceedings of the 1987 5th International Symposium on;1987;IEEE ;;;;;;;;;;X;
A Call to Arms: Embrace Assistive AI Systems!;Andrei  Broder;WSDM '18;2018;ACM;NO;;;;;;;;;;
A Career in Organized Anarchy: Building Interpersonal Relationships in Higher Education;Matthew  House;SIGUCCS '18;2018;ACM;NO;;;;;;;;;;
A case study in applying discrete control synthesis to excavator operation;"Marchand, H.; Rutten, E.";Systems, Man and Cybernetics, 2002 IEEE International Conference on;2002;IEEE ;X;X;X;X;X;X;O;O;O;O;
A case study of formation constrained optimal multi-agent coordination;"Wei Zhang; Jianghai Hu";Decision and Control, 2007 46th IEEE Conference on;2007;IEEE ;O;O;O;;;;;;;;
A Case Study on Safety Cases in the Automotive Domain: Modules, Patterns, and Models;"Wagner, S.; Schatz, B.; Puchner, Stefan; Kock, P.";Proceedings of the 2010 IEEE 21st International Symposium on Software Reliability Engineering;2010;IEEE ;O;O;O;;;;;;;;
A Case Study on the Cybersecurity of Social Robots;Justin  Miller and Andrew B. Williams and Debbie  Perouli;HRI '18;2018;ACM;NO;;;;;;;;;;
